timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2023-05-01 00:00:00,29245.3,29330.9,28237.7,28525.7,2055.8314971199998,1682942399999,0,18469,0,0,0
2023-05-01 12:00:00,28525.7,28639.7,27643.2,28074.1,2802.17203959,1682985599999,0,22575,0,0,0
2023-05-02 00:00:00,28076.6,28150.0,27877.9,28084.1,615.99004771,1683028799999,0,9956,0,0,0
2023-05-02 12:00:00,28084.2,28937.5,27911.6,28677.1,2996.1489189599997,1683071999999,0,24340,0,0,0
2023-05-03 00:00:00,28678.8,28781.5,28339.9,28557.7,963.1935208399999,1683115199999,0,12859,0,0,0
2023-05-03 12:00:00,28555.1,29267.5,28135.0,29033.3,3004.3528948000003,1683158399999,0,29137,0,0,0
2023-05-04 00:00:00,29034.5,29372.0,28970.3,29163.4,1118.67810001,1683201599999,0,12411,0,0,0
2023-05-04 12:00:00,29163.4,29239.3,28699.6,28852.7,1958.07233103,1683244799999,0,19612,0,0,0
2023-05-05 00:00:00,28852.9,29511.4,28831.5,29163.9,1461.1374877,1683287999999,0,13907,0,0,0
2023-05-05 12:00:00,29173.5,29697.4,28829.8,29530.2,2585.56302732,1683331199999,0,25046,0,0,0
2023-05-06 00:00:00,29530.3,29868.1,29177.7,29301.0,876.74548105,1683374399999,0,11417,0,0,0
2023-05-06 12:00:00,29301.0,29301.0,28338.0,28901.7,2087.3945391099996,1683417599999,0,18871,0,0,0
2023-05-07 00:00:00,28901.6,29191.8,28753.6,28878.1,726.7404972500001,1683460799999,0,9444,0,0,0
2023-05-07 12:00:00,28878.9,29128.8,28438.4,28468.0,1111.06602416,1683503999999,0,10942,0,0,0
2023-05-08 00:00:00,28466.8,28662.8,27607.1,27960.4,1820.5865797099998,1683547199999,0,15830,0,0,0
